word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaisse,0.0009462618652784982,-1.447811418553113e-05,-9.449881888221631e-07,2.8176125650773935e-07,2.8176125650773935e-07,-2.2196589745236995e-05,-7.718475559705865e-06,-1.0162608338239851e-07,8.433621054397646e-07,1.6870054385126023e-07,-1.1306071265647909e-07,1.6870054385126023e-07,-1.1306071265647909e-07
abaissement,0.0012690680928552575,5.464449222701015e-05,-1.2174596129591995e-05,-3.56185610109636e-07,-3.56185610109636e-07,5.93673191497615e-05,4.722826922751351e-06,-5.496542316712111e-06,6.6780538128798845e-06,-9.01231834742458e-07,-5.45046224632822e-07,-9.01231834742458e-07,-5.45046224632822e-07
abandon,0.0009229113578216361,0.0005359349098216972,1.4023733264426855e-05,8.875698081964193e-08,8.875698081964193e-08,0.00032169983464525395,-0.0002142350751764432,7.890945963928524e-06,-6.132787300498331e-06,-4.0941505731069755e-07,-4.981720381303395e-07,-4.0941505731069755e-07,-4.981720381303395e-07
abandonna,0.0005951835293544185,-7.131868785543525e-05,-3.72453815495152e-06,1.406794368949107e-07,1.406794368949107e-07,-4.555097982935429e-05,2.576770802608095e-05,-2.0737938501642717e-06,1.6507443047872486e-06,8.547774849319472e-08,-5.520168840171598e-08,8.547774849319472e-08,-5.520168840171598e-08
abandonnait,0.0018724163954999798,-0.00011868293620583286,-2.5679336447712507e-07,8.380753034187123e-08,8.380753034187123e-08,7.612039983631341e-05,0.00019480333604214627,2.7124122719606643e-06,2.9692056364377894e-06,8.676115423293767e-07,7.838040119875055e-07,8.676115423293767e-07,7.838040119875055e-07
abandonnant,0.001761013287375382,-0.0007321336063544424,-2.73652589255599e-05,4.826364362258545e-07,4.826364362258545e-07,-0.00046784362682252164,0.0002642899795319207,-1.4135481820391928e-05,1.3229777105167972e-05,1.2327600089806234e-07,-3.593604353277922e-07,1.2327600089806234e-07,-3.593604353277922e-07
abandonne,0.0005174924798638145,-3.557211835969349e-06,-2.2463873029613805e-07,-7.960094782017932e-08,-7.960094782017932e-08,1.8153495855861268e-05,2.1710707691830617e-05,3.167365000793406e-07,5.413752303754786e-07,-8.546170810072739e-08,-5.860760280548059e-09,-8.546170810072739e-08,-5.860760280548059e-09
abandonnent,0.0008789837065324632,0.00011632473565827599,2.51310222831751e-06,1.0485448644079752e-07,1.0485448644079752e-07,7.928670716445624e-05,-3.703802849381975e-05,1.8347429156922348e-06,-6.783593126252751e-07,7.678314703664211e-08,-2.8071339404155397e-08,7.678314703664211e-08,-2.8071339404155397e-08
abandonner,0.0030644597781224153,-0.0006436464237515046,-7.751916071597255e-06,6.45164843520942e-07,6.45164843520942e-07,-0.0004242128454501244,0.0002194335783013802,-3.0431383442676767e-06,4.70877772732958e-06,6.037192912819519e-07,-4.144555223899019e-08,6.037192912819519e-07,-4.144555223899019e-08
abandonnerait,0.0010212797518813765,0.000597486069841668,1.1213081202414927e-05,-3.463047205947531e-07,-3.463047205947531e-07,0.00039566292175749457,-0.00020182314808417335,7.5335183198528995e-06,-3.6795628825620277e-06,-5.908296480060076e-07,-2.4452492741125445e-07,-5.908296480060076e-07,-2.4452492741125445e-07
abandonné,0.0015677915769001054,0.000512552518898775,6.838358725885007e-06,1.902795180796473e-07,1.902795180796473e-07,0.0002717323856076134,-0.00024082013329116157,3.884885288352781e-06,-2.9534734375322262e-06,-1.4577660599438393e-07,-3.3605612407403124e-07,-1.4577660599438393e-07,-3.3605612407403124e-07
abandonnée,0.0004514951714547523,-4.9474536003386316e-05,-5.155881099757127e-07,-5.524095824754497e-08,-5.524095824754497e-08,-1.1082597766326137e-05,3.839193823706018e-05,-4.110294664674103e-08,4.744851633289716e-07,-2.6717157096502858e-08,2.852380115104212e-08,-2.6717157096502858e-08,2.852380115104212e-08
abandonnés,0.0005879025207828496,-0.0001007712201574832,8.945930405289283e-07,1.702054193065795e-08,1.702054193065795e-08,-4.897130870179943e-05,5.179991145568377e-05,2.472184670735056e-07,-6.473745734554226e-07,3.2760493674439104e-07,3.105843948137331e-07,3.2760493674439104e-07,3.105843948137331e-07
abasourdi,0.000703393168225134,-0.0004425881122119686,-1.591915466892879e-05,-2.5165289791745975e-07,-2.5165289791745975e-07,-0.00021903208105241318,0.00022355603115955546,-8.065966057637533e-06,7.853188611291254e-06,-1.3585173627655876e-07,1.15801161640901e-07,-1.3585173627655876e-07,1.15801161640901e-07
abat,0.0005861089596365601,-0.0003591887596610991,-1.093257142999666e-05,-8.546407246086044e-08,-8.546407246086044e-08,-0.0001759085208967947,0.00018328023876430438,-5.480664856667093e-06,5.451906573329566e-06,1.5754171933175555e-07,2.43005791792616e-07,1.5754171933175555e-07,2.43005791792616e-07
abattait,0.000812410439114776,0.00045571089476737343,1.1636680315224743e-05,1.3288846113660044e-07,1.3288846113660044e-07,0.0002517540229489201,-0.00020395687181845335,6.27001681105644e-06,-5.366663504168304e-06,-7.878231955430031e-08,-2.1167078069090075e-07,-7.878231955430031e-08,-2.1167078069090075e-07
abattoir,0.0009133698668204401,-0.0001386066998970115,-6.901521507719557e-06,-1.0302379815944092e-08,-1.0302379815944092e-08,-9.27108837163927e-05,4.58958161806188e-05,-3.718597645629124e-06,3.182923862090433e-06,-2.4147626069661176e-07,-2.3117388088066766e-07,-2.4147626069661176e-07,-2.3117388088066766e-07
abattre,0.0009385939231935655,-0.0005887604659256434,-2.0628102455639147e-05,1.2435700675400004e-07,1.2435700675400004e-07,-0.00032720978595839723,0.0002615506799672462,-1.0710127269543266e-05,9.917975186095882e-06,2.296104594810501e-07,1.0525345272705006e-07,2.296104594810501e-07,1.0525345272705006e-07
