word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abats,0.0035479975917043346,-0.0005216761743078489,-3.900868258573461e-05,8.761709092128249e-07,8.761709092128249e-07,-0.00030718603091085784,0.00021449014339699105,-2.4486199578904095e-05,1.4522483006830513e-05,1.213689946305131e-06,3.375190370923061e-07,1.213689946305131e-06,3.375190370923061e-07
abattaient,0.003157611712307346,3.347281135475377e-05,3.1144948103486665e-07,6.515247816215177e-07,6.515247816215177e-07,2.497770569900569e-06,-3.09750407848532e-05,-7.220953399653053e-07,-1.033544821000172e-06,6.96726987916718e-07,4.520220629520037e-08,6.96726987916718e-07,4.520220629520037e-08
abattait,0.0026179915947427456,0.0017011819461393183,4.5132253668129946e-05,-2.1152442008830496e-09,-2.1152442008830496e-09,0.0009606086754972324,-0.0007405732706420859,2.8954394451748125e-05,-1.6177859216381825e-05,-5.236434294604183e-07,-5.215281852595352e-07,-5.236434294604183e-07,-5.215281852595352e-07
abattre,0.0015123088549150335,-0.0006959727781042528,-3.143784297575383e-05,6.387125846969942e-07,6.387125846969942e-07,-0.0003790362199135414,0.0003169365581907114,-1.796364773312662e-05,1.3474195242627206e-05,7.394950929402905e-07,1.007825082432963e-07,7.394950929402905e-07,1.007825082432963e-07
abattu,0.005277858634871963,-0.004639736399885234,-0.00019994268880041996,-2.398337379674503e-07,-2.398337379674503e-07,-0.002594266599682452,0.0020454698002027815,-0.0001222104928531431,7.773219594727686e-05,-3.350034226993108e-07,-9.516968473186054e-08,-3.350034226993108e-07,-9.516968473186054e-08
abattues,0.003517584909838195,-0.0004163142826193515,1.4323747683992281e-05,-5.683982924815143e-07,-5.683982924815143e-07,-0.0002752750463156374,0.00014103923630371412,6.575744878034479e-06,-7.748002805957802e-06,5.538520063815013e-07,1.1222502988630156e-06,5.538520063815013e-07,1.1222502988630156e-06
abeilles,0.0024022841367405275,-0.0009635228636578847,-2.3487378041045097e-05,-2.914502303584317e-07,-2.914502303584317e-07,-0.0006032630268800337,0.0003602598367778509,-1.3084382011578836e-05,1.040299602946626e-05,1.0230987912632414e-07,3.9376010948475587e-07,1.0230987912632414e-07,3.9376010948475587e-07
abominables,0.002878501184588221,-0.0008637896683479863,-4.0104508978794205e-05,1.9996968162467723e-07,1.9996968162467723e-07,-0.0005291829904555409,0.00033460667789244534,-2.7838890696420123e-05,1.226561828237408e-05,2.790344700783562e-07,7.906478845367896e-08,2.790344700783562e-07,7.906478845367896e-08
abomination,0.002934992798345969,0.00041276672918698034,1.3727427533622592e-05,-4.018231871778879e-07,-4.018231871778879e-07,0.0003731696806323005,-3.9597048554679856e-05,1.1626668816131292e-05,-2.1007587174913e-06,-7.887739664171494e-07,-3.8695077923926153e-07,-7.887739664171494e-07,-3.8695077923926153e-07
abondante,0.002392641775629706,-0.0006444768151618926,-2.793718645971882e-05,-2.092069153132773e-07,-2.092069153132773e-07,-0.00039568893141590333,0.0002487878837459893,-1.6953342869540175e-05,1.0983843590178645e-05,-7.045826219873006e-07,-4.953757066740233e-07,-7.045826219873006e-07,-4.953757066740233e-07
