word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissant,0.0011821234374148311,-4.6381898451299065e-05,-2.2119570239607702e-06,-3.445554369146903e-07,-3.445554369146903e-07,-9.216111688572717e-05,-4.577921843442811e-05,-1.9584218997267455e-06,2.5353512423402475e-07,-1.2320766492534276e-07,2.2134777198934758e-07,-1.2320766492534276e-07,2.2134777198934758e-07
abaisser,0.0018243338212129223,-0.0008538946740138443,-1.585528651588817e-05,-3.677402614792625e-07,-3.677402614792625e-07,-0.0005807125472519919,0.00027318212676185244,-1.0308427366810557e-05,5.546859149077614e-06,-1.2934928596765072e-06,-9.257525981972447e-07,-1.2934928596765072e-06,-9.257525981972447e-07
abandonnait,0.0006612777357173221,0.00010784069236254335,2.502363925724104e-06,3.936743274595356e-08,3.936743274595356e-08,6.987844356654036e-05,-3.7962248796002985e-05,1.6934558597674885e-06,-8.089080659566157e-07,4.0021745819541813e-07,3.608500254494646e-07,4.0021745819541813e-07,3.608500254494646e-07
abandonner,0.00040585103588813734,-9.97370615575962e-05,-6.562814612212191e-07,5.557010783111838e-08,5.557010783111838e-08,-5.621534771987241e-05,4.3521713837723794e-05,-4.1284140532238825e-07,2.434400558988308e-07,1.2433618394189565e-07,6.876607611077726e-08,1.2433618394189565e-07,6.876607611077726e-08
abandonné,0.001245811428332318,6.280866096767897e-05,1.2201278834472339e-05,6.419957448237451e-08,6.419957448237451e-08,4.644864514044798e-05,-1.6360015827230994e-05,6.132268734494949e-06,-6.06901009997739e-06,-3.624733677001609e-07,-4.266729421825354e-07,-3.624733677001609e-07,-4.266729421825354e-07
abandonnée,0.00047836107190331296,9.42739215533807e-06,1.6887464696928187e-06,1.1767464823875914e-07,1.1767464823875914e-07,1.9909055144815843e-05,1.0481662989477773e-05,1.6778348800314696e-06,-1.0911589661349167e-08,9.521462849432903e-08,-2.2460019744430106e-08,9.521462849432903e-08,-2.2460019744430106e-08
abandonnés,0.0006228852439555443,0.0002570297743620994,1.6353995563411278e-06,2.3779269639696474e-07,2.3779269639696474e-07,0.0001841019133127524,-7.2927861049347e-05,1.7817595789263306e-06,1.463600225852027e-07,6.486049095645016e-07,4.108122131675368e-07,6.486049095645016e-07,4.108122131675368e-07
abasourdi,0.004471488483531167,-0.005486288751417848,-0.00017267480999399608,-6.207095446283796e-08,-6.207095446283796e-08,-0.0032024922854542942,0.0022837964659635536,-9.95904309099603e-05,7.308437908403578e-05,1.1743522991825813e-06,1.2364232536454193e-06,1.1743522991825813e-06,1.2364232536454193e-06
abasourdis,0.0012157687671356277,-0.0005253339717063271,-1.788555176060174e-05,3.5129520266471047e-07,3.5129520266471047e-07,-0.00035553571911362724,0.0001697982525926998,-1.2109238614805761e-05,5.776313145795979e-06,5.623887238199453e-07,2.1109352115523484e-07,5.623887238199453e-07,2.1109352115523484e-07
abomination,0.00289493130301395,0.0008876454589894067,2.7100175091990563e-05,1.3684841920545588e-07,1.3684841920545588e-07,0.0006189839314429433,-0.0002686615275464634,1.9593236151253477e-05,-7.506938940737086e-06,-5.350465417477701e-07,-6.71894960953226e-07,-5.350465417477701e-07,-6.71894960953226e-07
