word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abandon,0.0016036827394508568,0.00028123782009988936,1.76996346472819e-05,1.1428015200784597e-09,1.1428015200784597e-09,0.00026239941303567296,-1.88384070642164e-05,1.1006995432679208e-05,-6.692639214602691e-06,-7.228565947638153e-07,-7.239993962838938e-07,-7.228565947638153e-07,-7.239993962838938e-07
abandonna,0.0020684230283697282,-0.0008070286773593104,-1.5630019956398033e-05,3.649184726843732e-08,3.649184726843732e-08,-0.0005091612569787445,0.00029786742038056586,-1.1992339477968951e-05,3.6376804784290807e-06,-8.141644369277842e-09,-4.4633491637715166e-08,-8.141644369277842e-09,-4.4633491637715166e-08
abandonnai,0.004068311146968521,-0.00023972404848509576,-2.0575861440324495e-05,-7.224554295079384e-07,-7.224554295079384e-07,-0.00046071730205875553,-0.00022099325357365977,-1.5717587075612508e-05,4.858274364711985e-06,-5.567144252282561e-07,1.657410042796823e-07,-5.567144252282561e-07,1.657410042796823e-07
abandonnait,0.002169050385377261,0.0001787129642426611,5.866034859231701e-07,3.305140031956588e-08,3.305140031956588e-08,0.00022337944840519617,4.466648416253508e-05,3.197354876771638e-06,2.610751390848468e-06,8.244947564384917e-07,7.914433561189259e-07,8.244947564384917e-07,7.914433561189259e-07
abandonner,0.0013312278612314173,-0.00015135780414639075,1.4504914417311682e-07,1.0560508825172026e-07,1.0560508825172026e-07,-0.00011674047350108984,3.46173306453009e-05,3.89064788797971e-08,-1.061426652933197e-07,1.650586861193588e-08,-8.909921963978438e-08,1.650586861193588e-08,-8.909921963978438e-08
abandonné,0.002724248942894738,0.0006654785860035508,1.825379613308923e-05,3.927708431250314e-07,3.927708431250314e-07,0.0004291268088150257,-0.00023635177718852506,1.079272255191325e-05,-7.461073581175978e-06,-4.053303858941229e-07,-7.981012290191543e-07,-4.053303858941229e-07,-7.981012290191543e-07
abandonnée,0.00313813458799073,0.00019075397097885442,6.91715624474891e-06,3.993123060874755e-07,3.993123060874755e-07,0.00020157808091589784,1.0824109937043427e-05,6.417435650309785e-06,-4.997205944391249e-07,4.951528630576081e-07,9.584055697013264e-08,4.951528630576081e-07,9.584055697013264e-08
abasourdi,0.004888961321671386,-0.003201810126148683,-0.00010812683025999591,-1.9274467155882577e-07,-1.9274467155882577e-07,-0.0019055962494077593,0.0012962138767409234,-6.262570117975662e-05,4.550112908023929e-05,7.932079502814897e-07,9.859526218403155e-07,7.932079502814897e-07,9.859526218403155e-07
abasourdie,0.00286307106196104,0.002026046366146888,5.999449375544564e-05,-6.455733884925398e-07,-6.455733884925398e-07,0.0012721214214696736,-0.0007539249446772146,3.291509986807134e-05,-2.7079393887374295e-05,-6.632842187307998e-07,-1.7710830238259904e-08,-6.632842187307998e-07,-1.7710830238259904e-08
abat,0.0020368864551091673,-0.0007520176418517808,-3.2562293500983524e-05,-1.589268949058162e-07,-1.589268949058162e-07,-0.0004495808055473205,0.0003024368363044603,-1.662376758152164e-05,1.5938525919461886e-05,6.829076341989807e-07,8.418345291047969e-07,6.829076341989807e-07,8.418345291047969e-07
abattant,0.006617634917660312,-0.0016247187023040717,-4.53982843963002e-05,2.178040897556493e-06,2.178040897556493e-06,-0.0012753050166733673,0.0003494136856307043,-2.5479357161170984e-05,1.9918927235129218e-05,1.334197197238512e-06,-8.438437003179811e-07,1.334197197238512e-06,-8.438437003179811e-07
abattre,0.0016309333081908866,-0.0005977366769673213,-2.9399269996911423e-05,3.462337126268697e-07,3.462337126268697e-07,-0.0003797025259928751,0.0002180341509744461,-1.5897825584527995e-05,1.3501444412383428e-05,3.7981261903972466e-07,3.357890641285493e-08,3.7981261903972466e-07,3.357890641285493e-08
abbaye,0.006421927219102945,-0.0005807736396811337,-6.05633237474027e-05,2.3144080808648896e-06,2.3144080808648896e-06,-0.0004255108373559502,0.0001552628023251836,-3.1876820011366804e-05,2.8686503736035895e-05,6.95678026665489e-07,-1.6187300541994007e-06,6.95678026665489e-07,-1.6187300541994007e-06
abbé,0.002644289631010792,-0.0004121308434768213,-4.0240040004275616e-05,-3.543465464728851e-07,-3.543465464728851e-07,-0.00028269747196420903,0.0001294333715126123,-2.4458882434936888e-05,1.5781157569338728e-05,-1.2535405947561578e-07,2.2899248699726933e-07,-1.2535405947561578e-07,2.2899248699726933e-07
abdication,0.004027311537709192,0.002261610573532501,5.94476803248128e-05,-1.9955948716509462e-07,-1.9955948716509462e-07,0.0014721351690955757,-0.000789475404436925,3.923624383541701e-05,-2.021143648939579e-05,-1.0775409028397957e-06,-8.77981415674701e-07,-1.0775409028397957e-06,-8.77981415674701e-07
abeilles,0.005181435262532852,-0.0013146156898110203,-4.981767857089878e-05,1.1350472607100857e-09,1.1350472607100857e-09,-0.0008335164934570572,0.00048109919635396306,-2.9992184323677215e-05,1.9825494247221564e-05,6.077293324608012e-08,5.963788598537004e-08,6.077293324608012e-08,5.963788598537004e-08
abel,0.003968625610662702,-0.0019913190768012907,-0.00010759853526574133,-1.249387167990195e-06,-1.249387167990195e-06,-0.001219927907883935,0.0007713911689173556,-5.8330476709092366e-05,4.926805855664896e-05,-1.6577847939580652e-06,-4.0839762596787013e-07,-1.6577847939580652e-06,-4.0839762596787013e-07
abnégation,0.0031127817533710533,0.0015153879682796084,4.571767643158004e-05,-2.4750865577594456e-07,-2.4750865577594456e-07,0.0008070582924105831,-0.0007083296758690254,2.7755691921020267e-05,-1.7961984510559773e-05,-1.2921090684867004e-06,-1.0446004127107559e-06,-1.2921090684867004e-06,-1.0446004127107559e-06
aboie,0.006478776370436015,0.0016043715898730673,7.250584336061076e-05,-4.91544039936443e-07,-4.91544039936443e-07,0.0010087468204066088,-0.0005956247694664587,3.672532373238701e-05,-3.578051962822375e-05,-5.608460041374436e-07,-6.930196420100057e-08,-5.608460041374436e-07,-6.930196420100057e-08
aboiements,0.00281042537786644,-0.0014548455742590329,-2.5399554394948096e-05,2.4332306966335406e-07,2.4332306966335406e-07,-0.0007642224147268017,0.0006906231595322311,-1.11956888083175e-05,1.4203865586630597e-05,1.9776429782302275e-07,-4.55587718403313e-08,1.9776429782302275e-07,-4.55587718403313e-08
abolition,0.004201717336606582,0.0006219479017014976,1.792259926497642e-06,2.4015167185138624e-07,2.4015167185138624e-07,0.000374212776824569,-0.00024773512487692863,4.92631461804121e-06,3.134054691543568e-06,4.5287681726702217e-07,2.1272514541563596e-07,4.5287681726702217e-07,2.1272514541563596e-07
abominable,0.008483626640699482,0.0010322594266480626,-4.777729578500364e-05,-1.1650067391879423e-06,-1.1650067391879423e-06,0.0005214822568373173,-0.0005107771698107451,-2.499998015340471e-05,2.277731563159893e-05,1.160836927778762e-07,1.2810904319658185e-06,1.160836927778762e-07,1.2810904319658185e-06
abondamment,0.002524871712344398,-0.0003137909767265555,-1.0464412647454054e-05,-4.746521150189686e-08,-4.746521150189686e-08,-0.00010566464115057898,0.00020812633557597653,-4.498556163617043e-06,5.9658564838370106e-06,8.642380420430354e-07,9.117032535449322e-07,8.642380420430354e-07,9.117032535449322e-07
