word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
ab,0.014041327290923217,-0.0031680762610411676,-3.9556851583464056e-05,3.847808663624322e-07,3.847808663624322e-07,-0.001992816730918622,0.0011752595301225451,-2.6483334398131327e-05,1.3073517185332727e-05,1.435281603571058e-06,1.0505007372086259e-06,1.435281603571058e-06,1.0505007372086259e-06
abaisse,0.0009700688261917175,7.779742450968855e-05,-7.50872744294381e-07,2.92789842227237e-07,2.92789842227237e-07,6.981129365782065e-05,-7.986130851867896e-06,-6.480791507639766e-08,6.860648292179834e-07,1.6850010661369323e-07,-1.2428973561354376e-07,1.6850010661369323e-07,-1.2428973561354376e-07
abaissé,0.002109286211667611,0.00042040655940671427,1.9542900994575594e-06,7.973429563775313e-08,7.973429563775313e-08,0.00023158121490128456,-0.0001888253445054297,8.424743567626009e-07,-1.1118157426949586e-06,-2.7747280449385125e-07,-3.572071001316044e-07,-2.7747280449385125e-07,-3.572071001316044e-07
abandonna,0.0006101577257576122,-0.00020899861518568414,-4.000337617558905e-06,1.3506589521289015e-07,1.3506589521289015e-07,-0.00011353517274969477,9.546344243598935e-05,-2.1588744462945545e-06,1.8414631712643507e-06,8.971833310841312e-08,-4.534756210447704e-08,8.971833310841312e-08,-4.534756210447704e-08
abandonnait,0.0006398414792541627,-0.00016613349061493616,3.012598057744606e-07,1.8347337055596573e-08,1.8347337055596573e-08,-4.4062979803502044e-05,0.00012207051081143411,9.971826029635855e-07,6.959227971891249e-07,2.9994535328788597e-07,2.815980162322894e-07,2.9994535328788597e-07,2.815980162322894e-07
abandonne,0.000530512050548275,3.1269745343762575e-05,-1.813311904515834e-07,-7.823447938915132e-08,-7.823447938915132e-08,1.5220658060654967e-05,-1.604908728310761e-05,3.335527137980156e-07,5.14883904249599e-07,-8.84519645097952e-08,-1.0217485120643886e-08,-8.84519645097952e-08,-1.0217485120643886e-08
abandonner,0.00039269479846892386,-2.164501679210508e-05,-8.502934317906003e-07,9.195267231848748e-08,9.195267231848748e-08,-2.3881319792147597e-05,-2.2363030000425168e-06,-3.641076205579484e-07,4.861858112326519e-07,7.351681249576258e-08,-1.8435859822724903e-08,7.351681249576258e-08,-1.8435859822724903e-08
abat,0.0012017096986736322,-0.0009345007353890899,-2.2258196914862748e-05,-1.4921605902959618e-07,-1.4921605902959618e-07,-0.0004686934465283144,0.0004658072888607755,-1.1208724785167784e-05,1.1049472129694962e-05,3.177694285838327e-07,4.669854876134289e-07,3.177694285838327e-07,4.669854876134289e-07
abattage,0.001292611643685692,-0.0007599098562247465,-1.676421260528206e-05,1.689373670901565e-07,1.689373670901565e-07,-0.00046450283948541623,0.0002954070167393303,-9.15609289194028e-06,7.608119713341782e-06,6.597006330710436e-07,4.907632659808871e-07,6.597006330710436e-07,4.907632659808871e-07
abattu,0.0011193475479598905,-0.0012420150042193024,-3.0367594877208226e-05,-3.745746522252848e-08,-3.745746522252848e-08,-0.0007078110462955497,0.0005342039579237527,-1.745802067397552e-05,1.2909574203232704e-05,1.2100644637355706e-07,1.5846391159608554e-07,1.2100644637355706e-07,1.5846391159608554e-07
abattus,0.0008894084094465887,-0.00033630244968238835,-1.5627638205415722e-05,-1.2476619979809938e-07,-1.2476619979809938e-07,-0.0002110227081680615,0.00012527974151432686,-9.04634316570422e-06,6.581295039711503e-06,-6.18166198111487e-07,-4.933999983133876e-07,-6.18166198111487e-07,-4.933999983133876e-07
abbatiale,0.010353555451075388,-0.009039304928419194,-0.00024309263900052067,-1.8567440613734285e-06,-1.8567440613734285e-06,-0.0047451818976378774,0.004294123030781315,-0.00012732425692484373,0.00011576838207567692,1.3947022120364736e-06,3.251446273409902e-06,1.3947022120364736e-06,3.251446273409902e-06
abbaye,0.02178542165327123,-0.007829016118882929,-0.00029878614037816677,1.0884847644611207e-05,1.0884847644611207e-05,-0.005015915784882285,0.002813100334000643,-0.00014433420693089395,0.00015445193344727282,3.344811756219947e-06,-7.54003588839126e-06,3.344811756219947e-06,-7.54003588839126e-06
abbayes,0.012600562533525867,-0.0011847183344956321,-1.0679525434246179e-05,1.8002418539385568e-06,1.8002418539385568e-06,-0.0007250048175037299,0.0004597135169919023,-2.4023032663607247e-06,8.277222167885453e-06,2.354585670319878e-06,5.543438163813212e-07,2.354585670319878e-06,5.543438163813212e-07
abbé,0.04914194277402697,-0.03140768841826423,-0.0007840830685946715,5.37829494528902e-07,5.37829494528902e-07,-0.016019900131650753,0.015387788286613479,-0.0004376734544747873,0.00034640961411988423,4.011136717163986e-06,3.473307222635084e-06,4.011136717163986e-06,3.473307222635084e-06
abd,0.001464452792671752,9.527474132536912e-05,-1.0032440260953202e-06,-2.059340739055886e-07,-2.059340739055886e-07,1.695064062315316e-05,-7.832410070221595e-05,-4.248634991358868e-07,5.783805269594335e-07,-3.9049973983996384e-07,-1.8456566593437524e-07,-3.9049973983996384e-07,-1.8456566593437524e-07
abois,0.0008987250699219946,0.0002800331829581038,5.819893767596509e-06,1.9178831282501837e-07,1.9178831282501837e-07,0.00019466296704137497,-8.537021591672881e-05,4.273907382466108e-06,-1.5459863851304007e-06,5.3565930696788264e-08,-1.382223821282301e-07,5.3565930696788264e-08,-1.382223821282301e-07
abolir,0.0011005331010014937,-0.0002930297862754398,-1.025926647511342e-05,1.446002543336104e-07,1.446002543336104e-07,-0.00010279008029918966,0.00019023970597625018,-3.6441222831813417e-06,6.615144191932078e-06,3.3012324583582465e-07,1.8552299150221426e-07,3.3012324583582465e-07,1.8552299150221426e-07
abondamment,0.0007448041143924117,-0.00017130567081682045,-4.3744338133701624e-06,-1.4099008484875505e-07,-1.4099008484875505e-07,-7.082542231455845e-05,0.000100480248502262,-2.0109676051569764e-06,2.3634662082131865e-06,1.6368578215567862e-07,3.046758670044337e-07,1.6368578215567862e-07,3.046758670044337e-07
