word,tfidf,balance_input,balance_L1,balance_L2,balance_output,contrib_femme_input,contrib_homme_input,contrib_femme_L1,contrib_homme_L1,contrib_femme_L2,contrib_homme_L2,contrib_femme_output,contrib_homme_output
abaissé,0.001535658348531506,-0.00012330809874721131,1.272704537010052e-06,-1.8426109273018266e-07,-1.8426109273018266e-07,-9.453749821575747e-05,2.8770600531453843e-05,-1.8003501267428532e-07,-1.4527395496843373e-06,-4.890460294287437e-07,-3.0478493669856106e-07,-4.890460294287437e-07,-3.0478493669856106e-07
abandonna,0.0035537853527801053,-0.00034058365294646685,-2.0802161633282742e-05,-3.683968851106548e-07,-3.683968851106548e-07,-0.00045797338977717584,-0.00011738973683070899,-1.9576233167397933e-05,1.2259284658848096e-06,-1.4857356888979396e-07,2.1982331622086085e-07,-1.4857356888979396e-07,2.1982331622086085e-07
abandonnant,0.0008762371770034762,-0.00037060895300106237,-1.352358977133388e-05,2.9014921595994996e-07,2.9014921595994996e-07,-0.0002122245808030125,0.00015838437219804988,-8.086617286965411e-06,5.43697248436847e-06,3.7529460447362344e-07,8.51453885136735e-08,3.7529460447362344e-07,8.51453885136735e-08
abandonner,0.002287200446702508,-0.0004152440440250603,-3.136128504777625e-06,-5.756263961952682e-08,-5.756263961952682e-08,-0.00026558174793281917,0.00014966229609224112,-3.181277122286954e-06,-4.514861750932945e-08,3.0108182154394596e-07,3.586444611634728e-07,3.0108182154394596e-07,3.586444611634728e-07
abandonnèrent,0.0014212309158878477,-0.00022649662270716483,-5.619921806260963e-06,-3.853676547368485e-07,-3.853676547368485e-07,-0.000143677992392694,8.281863031447084e-05,-3.106510357859134e-06,2.5134114484018286e-06,-4.772943116960091e-07,-9.192665695916054e-08,-4.772943116960091e-07,-9.192665695916054e-08
abandonné,0.0017552132453926635,-0.00013493164415356922,1.0165745847976742e-05,1.0089614949574389e-07,1.0089614949574389e-07,-0.0001331806875047559,1.7509566488133288e-06,5.614095307584553e-06,-4.551650540392189e-06,-5.037801443117203e-07,-6.046762938074642e-07,-5.037801443117203e-07,-6.046762938074642e-07
abandonnés,0.0017551555647774598,-9.822888117734158e-05,7.394368108667713e-07,5.821861763368484e-07,5.821861763368484e-07,-6.05249266112363e-06,9.217638851621794e-05,3.2763037498164904e-06,2.536866938949719e-06,1.2135005583057175e-06,6.313143819688691e-07,1.2135005583057175e-06,6.313143819688691e-07
abasourdi,0.0010499737539761257,-0.0006127551227438296,-2.572798303771671e-05,1.5548534310704285e-07,1.5548534310704285e-07,-0.0003483000416070913,0.00026445508113673836,-1.5131185635754254e-05,1.0596797401962455e-05,4.5994612833893014e-07,3.044607852318873e-07,4.5994612833893014e-07,3.044607852318873e-07
abattre,0.0021015962967370627,-0.0014221347980013794,-4.111834650880099e-05,1.002653728733625e-06,1.002653728733625e-06,-0.0007634379607998217,0.0006586968372015577,-2.292972541002322e-05,1.8188621098777772e-05,1.1293461686114793e-06,1.2669243987785424e-07,1.1293461686114793e-06,1.2669243987785424e-07
abattu,0.000814937013964491,-0.0005938340226907816,-2.5923396453035893e-05,9.021619658454515e-08,9.021619658454515e-08,-0.00035815003014791786,0.00023568399254286367,-1.6083261387233962e-05,9.84013506580193e-06,2.2779172429657939e-07,1.3757552771203423e-07,2.2779172429657939e-07,1.3757552771203423e-07
abeilles,0.002225573358279707,-0.00011557759596874143,-1.3649133549926654e-05,-2.621408207490236e-07,-2.621408207490236e-07,-7.426889052857874e-05,4.130870544016269e-05,-8.711967754254786e-06,4.937165795671868e-06,4.031909450542144e-07,6.65331765803238e-07,4.031909450542144e-07,6.65331765803238e-07
abolir,0.001602478445115379,-0.0004050686357245359,-1.8771943697357174e-05,5.900263006803531e-07,5.900263006803531e-07,-0.0001508072838472555,0.00025426135187728044,-9.828901671431961e-06,8.943042025925212e-06,8.227481589208383e-07,2.327218582404851e-07,8.227481589208383e-07,2.327218582404851e-07
abominable,0.0009109895461621154,-7.499253815626771e-05,-4.9395092912969535e-06,6.579705107742203e-08,6.579705107742203e-08,-2.6946301123293248e-05,4.804623703297446e-05,-3.0538956211561935e-06,1.8856136701407595e-06,1.5170976842677766e-07,8.591271734935563e-08,1.5170976842677766e-07,8.591271734935563e-08
abondance,0.0009316686411907777,7.235645128991587e-05,2.3158087269857147e-06,-1.826900668943619e-07,-1.826900668943619e-07,1.6253545896138113e-05,-5.610290539377776e-05,7.281041108604296e-07,-1.5877046161252854e-06,-6.13035609196497e-08,1.2138650597471218e-07,-6.13035609196497e-08,1.2138650597471218e-07
aboutir,0.0011700884201526207,-0.00046700309582828087,-2.008799660978381e-05,1.5996802559142864e-07,1.5996802559142864e-07,-0.00030677176009323305,0.0001602313357350478,-1.2586836885953985e-05,7.501159723829824e-06,4.800783307371346e-07,3.2011030514570594e-07,4.800783307371346e-07,3.2011030514570594e-07
aboutissement,0.0013873030699812106,-0.0005261913798648606,-1.98745475799911e-05,1.3729760113734936e-07,1.3729760113734936e-07,-0.0003401138026590682,0.0001860775772057924,-1.3536798236674809e-05,6.337749343316291e-06,3.2496362136773054e-07,1.8766602023038118e-07,3.2496362136773054e-07,1.8766602023038118e-07
abri,0.0022196183993426644,0.0003060050351958008,2.886131641369837e-05,-9.304558331103986e-07,-9.304558331103986e-07,6.743665272686412e-05,-0.00023856838246893666,1.688834210298083e-05,-1.1972974310717539e-05,-1.857096926320984e-06,-9.266410932105855e-07,-1.857096926320984e-06,-9.266410932105855e-07
abris,0.007106154579439239,-0.0011810877411320287,-3.381501891712353e-05,-5.255470899639178e-07,-5.255470899639178e-07,-0.0007438358475652907,0.00043725189356673806,-2.1016185209686536e-05,1.2798833707436993e-05,-1.2890229920240018e-06,-7.63475902060084e-07,-1.2890229920240018e-06,-7.63475902060084e-07
abriter,0.003958300638343922,0.00019059544626453336,3.646569068278971e-07,-1.0849198417713493e-06,-1.0849198417713493e-06,0.00025639965137204537,6.580420510751202e-05,-2.491671568143018e-07,-6.138240636421989e-07,-1.6045107892688691e-06,-5.195909474975198e-07,-1.6045107892688691e-06,-5.195909474975198e-07
abruti,0.001032695612434053,0.00022992122113151193,1.1961490882694156e-05,-1.5171119377297565e-07,-1.5171119377297565e-07,9.986635688353884e-05,-0.00013005486424797307,5.128661638317699e-06,-6.832829244376458e-06,-1.4972322550946868e-07,1.9879682635069586e-09,-1.4972322550946868e-07,1.9879682635069586e-09
absent,0.0006791515720609526,3.1612323581426466e-05,-3.7041072180188674e-08,1.7078106712040767e-07,1.7078106712040767e-07,4.509860864327666e-05,1.3486285061850197e-05,3.980162925975993e-07,4.3505736477778795e-07,1.0524536205628653e-07,-6.553570506412114e-08,1.0524536205628653e-07,-6.553570506412114e-08
absente,0.0008280014037661828,6.788819587113874e-06,1.2689779801281309e-06,2.3045252814188846e-07,2.3045252814188846e-07,2.6420983761920092e-05,1.9632164174806218e-05,9.874549948032186e-07,-2.8152298532491244e-07,1.9760489413337234e-07,-3.284763400851613e-08,1.9760489413337234e-07,-3.284763400851613e-08
absolu,0.0007619256032524841,-0.00014443922041321131,4.062537253799726e-07,-3.451510424228387e-08,-3.451510424228387e-08,-9.857333834502879e-05,4.5865882068182535e-05,2.0336908272456316e-08,-3.859168171075163e-07,-3.935217133832276e-07,-3.590066091409437e-07,-3.935217133832276e-07,-3.590066091409437e-07
absolument,0.0010992542375595454,0.00018616223721180716,3.573247909343039e-06,-1.1306987547407714e-08,-1.1306987547407714e-08,0.00012879499825428842,-5.736723895751874e-05,2.7595815463941575e-06,-8.136663629488815e-07,4.170072254040503e-09,1.5477059801448217e-08,4.170072254040503e-09,1.5477059801448217e-08
absorbé,0.0008898232306973227,-6.417311963761966e-05,-4.152906231873821e-06,-3.3848401174591316e-08,-3.3848401174591316e-08,-3.245764399996823e-05,3.171547563765143e-05,-2.6141649792456446e-06,1.538741252628176e-06,1.114145687502863e-07,1.4526296992487762e-07,1.114145687502863e-07,1.4526296992487762e-07
abstenir,0.0013051978495122651,-0.00014310971364144147,-1.5201330179947435e-05,-2.5016651807502366e-08,-2.5016651807502366e-08,-5.8260819248166364e-05,8.484889439327511e-05,-8.581977141824094e-06,6.619353038123342e-06,5.051339635304082e-07,5.301506153379106e-07,5.051339635304082e-07,5.301506153379106e-07
abusent,0.0017946944262237268,0.00015938034788571376,1.6435286473591954e-05,-9.065954645332593e-07,-9.065954645332593e-07,-2.7222306167830456e-05,-0.00018660265405354422,7.970884195452158e-06,-8.464402278139798e-06,-1.321440482657762e-06,-4.1484501812450274e-07,-1.321440482657762e-06,-4.1484501812450274e-07
abusé,0.0011429323176310503,2.908739951202901e-05,-1.157844090140847e-06,1.5987522954798328e-07,1.5987522954798328e-07,2.54961524235839e-05,-3.5912470884451083e-06,-1.088222526297487e-06,6.962156384335996e-08,2.249333536634374e-07,6.505812411545412e-08,2.249333536634374e-07,6.505812411545412e-08
abîma,0.0018150451726677572,0.00018069186037545016,1.762731416213314e-05,-4.0557486864975704e-07,-4.0557486864975704e-07,9.855057495176856e-05,-8.214128542368158e-05,9.789284285768251e-06,-7.838029876364888e-06,-9.426581609583601e-07,-5.370832923086031e-07,-9.426581609583601e-07,-5.370832923086031e-07
ac,0.00333096754107821,-0.0005793953534849459,-2.312740008213158e-05,4.7538486148653675e-09,4.7538486148653675e-09,-0.0003988998933806448,0.00018049546010430112,-1.5233167241975627e-05,7.894232840155953e-06,5.562456897673522e-07,5.514918411524869e-07,5.562456897673522e-07,5.514918411524869e-07
accablé,0.0009182681797903948,-0.00021687380784887473,-1.0995361396984894e-05,2.5764243870016805e-07,2.5764243870016805e-07,-0.00012112445562773125,9.57493522211435e-05,-6.0997899747506125e-06,4.895571422234282e-06,3.9351869417564294e-07,1.358762554754749e-07,3.9351869417564294e-07,1.358762554754749e-07
accent,0.002990043351051412,-0.0007819343892222015,-2.885229849685847e-05,2.3352772207847172e-07,2.3352772207847172e-07,-0.0004730988514979517,0.0003088355377242498,-1.7665329797625808e-05,1.1186968699232663e-05,9.169414200984779e-08,-1.4183358006862395e-07,9.169414200984779e-08,-1.4183358006862395e-07
accepta,0.006653040692239242,0.0012117636792014076,0.00011978287076211103,-5.947523866688359e-07,-5.947523866688359e-07,0.0010270523627155324,-0.00018471131648587513,8.045909776029726e-05,-3.9323773001813766e-05,-4.393405481079095e-06,-3.798653094410259e-06,-4.393405481079095e-06,-3.798653094410259e-06
acceptable,0.0011752037405418415,-0.0002098691153681592,2.8609849121496247e-06,-2.355016797028913e-07,-2.355016797028913e-07,-0.00015987345848336842,4.999565688479077e-05,1.8017432772664186e-06,-1.0592416348832061e-06,-5.468178270772009e-07,-3.113161473743096e-07,-5.468178270772009e-07,-3.113161473743096e-07
acceptait,0.0016730270157857706,-0.00031588544963455205,-1.6749194294568436e-05,-3.635098748233324e-07,-3.635098748233324e-07,-0.00011561256128756969,0.00020027288834698233,-7.740716329102155e-06,9.008477965466279e-06,-7.742537855695437e-08,2.8608449626637803e-07,-7.742537855695437e-08,2.8608449626637803e-07
acceptant,0.0010803038099569974,-5.162870328717341e-07,8.185998352547159e-07,6.63030908892407e-08,6.63030908892407e-08,8.786688138133292e-06,9.302975171005026e-06,6.953798206869439e-07,-1.232200145677719e-07,-3.8112428489284196e-07,-4.4742737578208266e-07,-3.8112428489284196e-07,-4.4742737578208266e-07
acceptation,0.0025194070002134963,-0.00028999608664856397,-5.202286154108143e-06,-8.97052049903309e-07,-8.97052049903309e-07,-0.00027902955533726215,1.0966531311301832e-05,-5.936554237039252e-06,-7.342680829311096e-07,-8.81169712977436e-07,1.5882336925873058e-08,-8.81169712977436e-07,1.5882336925873058e-08
accepte,0.0031998479076679855,0.00024848111279513006,3.4112717253442e-05,-3.9321543898589213e-07,-3.9321543898589213e-07,0.00029199397280217307,4.351286000704299e-05,2.2565088799233342e-05,-1.154762845420866e-05,-1.898835754335933e-06,-1.505620315350041e-06,-1.898835754335933e-06,-1.505620315350041e-06
accepter,0.002182834208405557,0.0005397099987377093,3.487578812237658e-05,-1.961828542656456e-08,-1.961828542656456e-08,0.0004176734493980147,-0.00012203654933969452,2.3787597233533673e-05,-1.1088190888842908e-05,-7.711158706696498e-07,-7.514975852430853e-07,-7.711158706696498e-07,-7.514975852430853e-07
accepterais,0.003048983081961013,0.0007261203658197677,2.326124525019972e-05,-3.4881928587825577e-07,-3.4881928587825577e-07,0.00047062084488319627,-0.00025549952093657146,1.5699173435177698e-05,-7.56207181502202e-06,-6.585855976116093e-07,-3.0976631173335357e-07,-6.585855976116093e-07,-3.0976631173335357e-07
accepterait,0.00111503639576486,0.00021045135471274456,1.299980575547351e-05,8.597684315662414e-08,8.597684315662414e-08,0.00012912104097936,-8.133031373338458e-05,8.100692105432873e-06,-4.899113650040637e-06,-3.278910159809578e-07,-4.138678591375819e-07,-3.278910159809578e-07,-4.138678591375819e-07
accepteriez,0.001602478445115379,2.0554339756657653e-05,7.02597807376668e-07,-6.068477028417063e-07,-6.068477028417063e-07,-1.4922512300459162e-05,-3.5476852057116815e-05,-4.2654001359383257e-07,-1.1291378209705006e-06,-8.67313643844647e-07,-2.604659410029408e-07,-8.67313643844647e-07,-2.604659410029408e-07
acceptes,0.0027424753757108317,0.0001568557938730895,6.293412759799137e-08,-8.324136411054308e-07,-8.324136411054308e-07,0.00016094567439258964,4.0898805195001405e-06,9.787564106695536e-07,9.158222830715622e-07,-1.289221982396975e-07,7.034914428657333e-07,-1.289221982396975e-07,7.034914428657333e-07
acceptez,0.0011453355589077748,-0.0001009135746233256,-1.780624420600904e-06,-8.304720830065791e-08,-8.304720830065791e-08,-4.977943683782857e-05,5.1134137785497024e-05,-1.451412689706198e-06,3.29211730894706e-07,-4.983956183690991e-09,7.806325211696692e-08,-4.983956183690991e-09,7.806325211696692e-08
accepté,0.00512149119964673,0.0022606760065107235,0.0001053845307798149,1.2221280854001725e-06,1.2221280854001725e-06,0.00179177856989384,-0.00046889743661688356,7.182169012371947e-05,-3.356284065609542e-05,-2.6667537730086585e-07,-1.4888034627010382e-06,-2.6667537730086585e-07,-1.4888034627010382e-06
acceptée,0.0035647434765371596,0.0011813368903373293,7.330156451393311e-05,7.368317046959133e-07,7.368317046959133e-07,0.0008437711630374516,-0.0003375657272998776,4.8494040416335745e-05,-2.480752409759737e-05,5.441620708180177e-08,-6.824154976141115e-07,5.441620708180177e-08,-6.824154976141115e-07
accessible,0.0011127866791398535,0.00046637433768078473,1.5528571395429118e-05,-3.4933078092995566e-07,-3.4933078092995566e-07,0.00026506231465973576,-0.00020131202302104897,8.475904914696857e-06,-7.05266648073226e-06,-6.880787818700242e-07,-3.3874800094006854e-07,-6.880787818700242e-07,-3.3874800094006854e-07
accident,0.0005752553462796969,0.00018443739212778553,6.935868280287566e-06,-9.816613856040727e-08,-9.816613856040727e-08,0.00011501566015134758,-6.942173197643796e-05,4.089460923685238e-06,-2.846407356602328e-06,-1.9341072053443703e-07,-9.524458197402975e-08,-1.9341072053443703e-07,-9.524458197402975e-08
accommoder,0.0012385465020684993,-0.00014014231717450303,-1.4425114247267176e-05,-3.017919118187433e-07,-3.017919118187433e-07,-0.00010171107371650475,3.8431243457998294e-05,-8.77148885435743e-06,5.653625392909747e-06,-1.8129233700653694e-07,1.204995748122064e-07,-1.8129233700653694e-07,1.204995748122064e-07
accompagna,0.001992971454405089,0.0006283695164614281,1.3784799729615197e-05,7.034351822083602e-07,7.034351822083602e-07,0.0004662749831260493,-0.00016209453333537887,1.0727269845807712e-05,-3.057529883807484e-06,2.1710537061471937e-07,-4.863298115936409e-07,2.1710537061471937e-07,-4.863298115936409e-07
accompagnaient,0.0010803038099569974,0.00010481253272818679,5.563120103377637e-06,-1.499760292593615e-07,-1.499760292593615e-07,5.0459766929018426e-05,-5.435276579916836e-05,3.1741051966035347e-06,-2.389014906774102e-06,-4.2304070196857133e-07,-2.730646727092098e-07,-4.2304070196857133e-07,-2.730646727092098e-07
accompagnait,0.0014326088736942306,0.00027020987610467686,1.2968202273516283e-05,-2.1261033737253833e-07,-2.1261033737253833e-07,0.00021594665502318024,-5.42632210814966e-05,9.132119246447186e-06,-3.836083027069097e-06,-9.090928963580845e-07,-6.964825589855462e-07,-9.090928963580845e-07,-6.964825589855462e-07
accompagner,0.002270751842274912,0.0005786481357567758,2.145818966925151e-05,5.436729130148125e-07,5.436729130148125e-07,0.00040733605920152693,-0.0001713120765552488,1.4301087809070401e-05,-7.1571018601811075e-06,7.74639619812082e-08,-4.662089510336043e-07,7.74639619812082e-08,-4.662089510336043e-07
accompagnés,0.0010070511902220904,1.3782306473622294e-05,1.9522129077043605e-06,-5.1948367988285813e-08,-5.1948367988285813e-08,1.7522720968430813e-05,3.740414494808519e-06,7.590095968152989e-07,-1.1932033108890615e-06,-2.018518520090864e-08,3.1763182787377174e-08,-2.018518520090864e-08,3.1763182787377174e-08
accompli,0.0007248798128635668,-8.190856244284612e-05,1.045112600266941e-06,-3.438777421348095e-08,-3.438777421348095e-08,-8.716690123493912e-05,-5.258338792092995e-06,1.919934338082628e-07,-8.531191664586783e-07,-3.4904771305569616e-07,-3.146599388422152e-07,-3.4904771305569616e-07,-3.146599388422152e-07
accomplir,0.0035209732487073075,-0.0009542141210000656,-1.528052500119448e-05,-1.288912900099445e-06,-1.288912900099445e-06,-0.0006443564619436576,0.00030985765905640805,-9.131453709464885e-06,6.149071291729596e-06,-3.064498209120347e-06,-1.7755853090209022e-06,-3.064498209120347e-06,-1.7755853090209022e-06
accomplis,0.001285144289973787,-0.0003489428227916768,-9.530268294284193e-06,-1.8375353616227426e-07,-1.8375353616227426e-07,-0.00021755344805295495,0.00013138937473872186,-5.65288236424138e-06,3.877385930042812e-06,-4.832807339356436e-07,-2.9952719777336933e-07,-4.832807339356436e-07,-2.9952719777336933e-07
